row_no,machine_id,status,reason,detail
391,4370,skipped,status_not_ready,status_not_ready
392,4358,skipped,status_not_ready,status_not_ready
393,4353,skipped,status_not_ready,status_not_ready
394,4377,skipped,status_not_ready,status_not_ready
395,4376,skipped,status_not_ready,status_not_ready
396,4362,skipped,status_not_ready,status_not_ready
397,4368,skipped,status_not_ready,status_not_ready
398,4354,skipped,status_not_ready,status_not_ready
399,4350,skipped,status_not_ready,status_not_ready
400,4345,skipped,status_not_ready,status_not_ready
401,4349,skipped,status_not_ready,status_not_ready
402,4330,skipped,status_not_ready,status_not_ready
403,4339,skipped,status_not_ready,status_not_ready
404,4357,skipped,status_not_ready,status_not_ready
405,4331,skipped,status_not_ready,status_not_ready
406,4346,skipped,status_not_ready,status_not_ready
407,4337,skipped,status_not_ready,status_not_ready
408,4334,skipped,status_not_ready,status_not_ready
409,4344,skipped,status_not_ready,status_not_ready
410,4332,skipped,status_not_ready,status_not_ready
411,4351,skipped,status_not_ready,status_not_ready
412,4343,skipped,status_not_ready,status_not_ready
413,4338,skipped,status_not_ready,status_not_ready
414,4336,skipped,status_not_ready,status_not_ready
415,4348,skipped,status_not_ready,status_not_ready
416,4322,skipped,status_not_ready,status_not_ready
417,4324,skipped,status_not_ready,status_not_ready
418,4317,skipped,status_not_ready,status_not_ready
419,4313,skipped,status_not_ready,status_not_ready
420,4318,skipped,status_not_ready,status_not_ready
421,4312,skipped,status_not_ready,status_not_ready
422,4323,skipped,status_not_ready,status_not_ready
423,4315,skipped,status_not_ready,status_not_ready
424,4314,skipped,status_not_ready,status_not_ready
425,4319,skipped,status_not_ready,status_not_ready
426,4303,skipped,status_not_ready,status_not_ready
427,4289,skipped,status_not_ready,status_not_ready
428,4284,skipped,status_not_ready,status_not_ready
429,4287,skipped,status_not_ready,status_not_ready
430,4300,skipped,status_not_ready,status_not_ready
431,4320,skipped,status_not_ready,status_not_ready
432,4290,skipped,status_not_ready,status_not_ready
433,4307,skipped,status_not_ready,status_not_ready
434,4297,skipped,status_not_ready,status_not_ready
435,4325,skipped,status_not_ready,status_not_ready
436,4306,skipped,status_not_ready,status_not_ready
437,4308,skipped,status_not_ready,status_not_ready
438,4293,skipped,status_not_ready,status_not_ready
439,4291,skipped,status_not_ready,status_not_ready
440,4285,skipped,status_not_ready,status_not_ready
441,4286,skipped,status_not_ready,status_not_ready
442,4305,skipped,status_not_ready,status_not_ready
443,4316,skipped,status_not_ready,status_not_ready
444,4309,skipped,status_not_ready,status_not_ready
445,4269,skipped,status_not_ready,status_not_ready
446,4295,skipped,status_not_ready,status_not_ready
447,4261,skipped,status_not_ready,status_not_ready
448,4281,skipped,status_not_ready,status_not_ready
449,4271,skipped,status_not_ready,status_not_ready
450,4276,skipped,status_not_ready,status_not_ready
451,4262,skipped,status_not_ready,status_not_ready
452,4282,skipped,status_not_ready,status_not_ready
453,4280,skipped,status_not_ready,status_not_ready
454,4270,skipped,status_not_ready,status_not_ready
455,4278,skipped,status_not_ready,status_not_ready
456,4266,skipped,status_not_ready,status_not_ready
457,4257,skipped,status_not_ready,status_not_ready
458,4267,skipped,status_not_ready,status_not_ready
459,4274,skipped,status_not_ready,status_not_ready
460,4250,skipped,status_not_ready,status_not_ready
461,4251,skipped,status_not_ready,status_not_ready
462,4249,skipped,status_not_ready,status_not_ready
463,4260,skipped,status_not_ready,status_not_ready
464,4277,skipped,status_not_ready,status_not_ready
465,4273,skipped,status_not_ready,status_not_ready
466,4288,skipped,status_not_ready,status_not_ready
467,4248,skipped,status_not_ready,status_not_ready
468,4231,skipped,status_not_ready,status_not_ready
469,4245,skipped,status_not_ready,status_not_ready
470,4235,skipped,status_not_ready,status_not_ready
471,4238,skipped,status_not_ready,status_not_ready
472,4239,skipped,status_not_ready,status_not_ready
473,4234,skipped,status_not_ready,status_not_ready
474,4227,skipped,status_not_ready,status_not_ready
475,4240,skipped,status_not_ready,status_not_ready
476,4243,skipped,status_not_ready,status_not_ready
477,4265,skipped,status_not_ready,status_not_ready
